2014-03-21 10:59:02 - INFO --> |         ID |     Height | Blockhash                                                        |   Old |   New | Status  
2014-03-21 21:13:08 - INFO --> |         14 |         19 | 21fbebb7691c42d3dc2d55240545b81be8e83a1f747429b8894d4dd4e74ba518 |    15 |    18 | UPDATED 
2014-03-21 21:13:08 - INFO --> |         15 |         16 | 67346f228995700d0090c84f4b7f86660c7e4009327463e14158ca48532e58ec |    18 |    21 | UPDATED 
2014-03-21 21:13:08 - INFO --> |         16 |         22 | 0d67f11cadc68eca98cd2b5ffaa93a382260f8f4b292afc8cfa809a1eea67d51 |    12 |    15 | UPDATED 
2014-03-21 21:13:08 - INFO --> |         17 |          9 | deb17aabc1e91f043d0b699255994ad5b24237ae41903b3f33531fbf9cf0994c |    25 |    28 | UPDATED 
2014-03-21 21:13:08 - INFO --> |         18 |         11 | 47006f6e140edaebeca3c414094df6af6205f41265fa0507024a5e6a9e6de8dc |    23 |    26 | UPDATED 
2014-03-21 21:13:08 - INFO --> |         19 |         12 | 8fb252d9ec822b4e9d7ea51ff83850b630c5795998b3d0bc2b1a8bd46cab4fb6 |    22 |    25 | UPDATED 
2014-03-21 21:13:08 - INFO --> |         20 |         24 | 9ae73708b08bf04317afc7ca3a7b60623a9c213a06ecdcbdfed1af43a2df8b22 |    10 |    13 | UPDATED 
2014-03-21 21:13:08 - INFO --> |         21 |         18 | 2d17c28f0b26437b65e1ddac983e78def428a0f18e6a72d629eb74483a0ce676 |    16 |    19 | UPDATED 
2014-03-21 21:13:08 - INFO --> |         22 |         30 | a964d2b84e8ad9b87a2ea71af695d29d960537ed6b83750823561d650f21748f |     4 |     7 | UPDATED 
2014-03-21 21:13:08 - INFO --> |         23 |         23 | af8a910b4ec6e2b1c54aed2a41d62e0ca9bfc13c5351345dfd23ddb86111ecb3 |    11 |    14 | UPDATED 
2014-03-21 21:13:08 - INFO --> |         24 |         10 | 0f2da02923cfa0ba7c11dc7904915bd891b9213fa8d6427c06317ace90323cae |    24 |    27 | UPDATED 
2014-03-21 21:13:08 - INFO --> |         25 |         15 | 384e51548400f6292c371df766addc9c7701239608c4ba6c5eaaad30174f6e29 |    19 |    22 | UPDATED 
2014-03-21 21:13:08 - INFO --> |         26 |         21 | 93212ad482b3c9865cc6f3eac3fe49a41e3c14c5e9d8f82a0ed5ecda2f9b660a |    13 |    16 | UPDATED 
2014-03-21 21:13:08 - INFO --> |         27 |         20 | 4bcd64440b02b0890a343237d69b30d101d7e38a9d67162975af147e1a8e0ff1 |    14 |    17 | UPDATED 
2014-03-21 21:13:08 - INFO --> |         28 |         31 | 96adb2d750456cb0d2413fea8794f53cb5ba4bb966200305b8653e66b1f0208e |     3 |     6 | UPDATED 
2014-03-21 21:13:08 - INFO --> |         29 |         25 | f9ffa48e9d96b10a40a4b3cad4c83cff3b7d06edfbe97b6b3f74d579cf403cb4 |     9 |    12 | UPDATED 
2014-03-21 21:13:08 - INFO --> |         30 |          4 | 88c912ae63d19ae62b0e02943dcc55efb867085082022330cc31abafb5e5ce33 |    30 |    33 | UPDATED 
2014-03-21 21:13:08 - INFO --> |         31 |         33 | 551c2b3639dd1edd66aca59491374117565d8db4de8b07e16dd9b7d3c5c9f74f |     1 |     4 | UPDATED 
2014-03-21 21:13:08 - INFO --> |         32 |         32 | 599d719c135bffb709646f175f158427bb298e228e5a8010abf4566cd7296028 |     2 |     5 | UPDATED 
2014-03-21 21:14:04 - INFO --> |         ID |     Height | Blockhash                                                        |   Old |   New | Status  
2014-03-21 21:14:04 - INFO --> |          1 |          1 | 6a46fcfc7078cfa2e0d42edf9d96d5d66dd23ef04d67a2f958fd74b62b2f824b |    36 |    37 | UPDATED 
2014-03-21 21:14:04 - INFO --> |          2 |          3 | 8bca23f0047c8f90e705116c801deb281531e4e7d28b8fadd548489be5aee0ca |    34 |    35 | UPDATED 
2014-03-21 21:14:04 - INFO --> |          3 |         28 | bcb15121b7cdd1c1826bbe64d47d05fea9e9b5742a2b523b8ce109e7fef0b25e |     9 |    10 | UPDATED 
2014-03-21 21:14:04 - INFO --> |          4 |         27 | 6a4973f322aa0f9fa9f2f1905e299d82e8333b4b80e50cc9d412c765551a60a8 |    10 |    11 | UPDATED 
2014-03-21 21:14:04 - INFO --> |          5 |          5 | 62f8d1c1a176a5688a755330f75c47a261c3f94626e4433edd15eb55ee80ecbf |    32 |    33 | UPDATED 
2014-03-21 21:14:04 - INFO --> |          6 |          7 | fc451b43f5f459db62cfd32a1814376f46ee4d8348fc23de641a9954e20357c5 |    30 |    31 | UPDATED 
2014-03-21 21:14:04 - INFO --> |          7 |          6 | 00ebf40c1c7bf2364bc65aa99397a98b0328baf4191a656edf644b5e88c0665c |    31 |    32 | UPDATED 
2014-03-21 21:14:04 - INFO --> |          8 |         26 | 887e5d893f0c4aedf82b74345519921348df0084b789a248b77f7711655e6ce4 |    11 |    12 | UPDATED 
2014-03-21 21:14:04 - INFO --> |          9 |         29 | a325366e01b4c2535df2e0792ebd84ddcb1eb4c85a1f7d949ec4a752b112b3ef |     8 |     9 | UPDATED 
2014-03-21 21:14:04 - INFO --> |         10 |          8 | 7500fad8e423e4004b66ab18d60c386c28ae7c91ddde889636af18998f9e7886 |    29 |    30 | UPDATED 
2014-03-21 21:14:04 - INFO --> |         11 |         17 | f05b6a5ebad5c3579c7a9e1d9472a8d8a7bb11d46fc0cb5b8e0355f56762e725 |    20 |    21 | UPDATED 
2014-03-21 21:14:04 - INFO --> |         12 |         14 | 77307ef7875577a3ea33cf147ac6b17be66bf8bba7c127ab612cf7fa9ef34d1a |    23 |    24 | UPDATED 
2014-03-21 21:14:04 - INFO --> |         13 |         13 | 28f84a7744859cc96ad89e0d81d02d578cedd47c02b5c7bba6aba982245a7bad |    24 |    25 | UPDATED 
2014-03-21 21:14:04 - INFO --> |         14 |         19 | 21fbebb7691c42d3dc2d55240545b81be8e83a1f747429b8894d4dd4e74ba518 |    18 |    19 | UPDATED 
2014-03-21 21:14:04 - INFO --> |         15 |         16 | 67346f228995700d0090c84f4b7f86660c7e4009327463e14158ca48532e58ec |    21 |    22 | UPDATED 
2014-03-21 21:14:04 - INFO --> |         16 |         22 | 0d67f11cadc68eca98cd2b5ffaa93a382260f8f4b292afc8cfa809a1eea67d51 |    15 |    16 | UPDATED 
2014-03-21 21:14:04 - INFO --> |         17 |          9 | deb17aabc1e91f043d0b699255994ad5b24237ae41903b3f33531fbf9cf0994c |    28 |    29 | UPDATED 
2014-03-21 21:14:04 - INFO --> |         18 |         11 | 47006f6e140edaebeca3c414094df6af6205f41265fa0507024a5e6a9e6de8dc |    26 |    27 | UPDATED 
2014-03-21 21:14:04 - INFO --> |         19 |         12 | 8fb252d9ec822b4e9d7ea51ff83850b630c5795998b3d0bc2b1a8bd46cab4fb6 |    25 |    26 | UPDATED 
2014-03-21 21:14:04 - INFO --> |         20 |         24 | 9ae73708b08bf04317afc7ca3a7b60623a9c213a06ecdcbdfed1af43a2df8b22 |    13 |    14 | UPDATED 
2014-03-21 21:14:04 - INFO --> |         21 |         18 | 2d17c28f0b26437b65e1ddac983e78def428a0f18e6a72d629eb74483a0ce676 |    19 |    20 | UPDATED 
2014-03-21 21:14:04 - INFO --> |         22 |         30 | a964d2b84e8ad9b87a2ea71af695d29d960537ed6b83750823561d650f21748f |     7 |     8 | UPDATED 
2014-03-21 21:14:04 - INFO --> |         23 |         23 | af8a910b4ec6e2b1c54aed2a41d62e0ca9bfc13c5351345dfd23ddb86111ecb3 |    14 |    15 | UPDATED 
2014-03-21 21:14:04 - INFO --> |         24 |         10 | 0f2da02923cfa0ba7c11dc7904915bd891b9213fa8d6427c06317ace90323cae |    27 |    28 | UPDATED 
2014-03-21 21:14:04 - INFO --> |         25 |         15 | 384e51548400f6292c371df766addc9c7701239608c4ba6c5eaaad30174f6e29 |    22 |    23 | UPDATED 
2014-03-21 21:14:04 - INFO --> |         26 |         21 | 93212ad482b3c9865cc6f3eac3fe49a41e3c14c5e9d8f82a0ed5ecda2f9b660a |    16 |    17 | UPDATED 
2014-03-21 21:14:04 - INFO --> |         27 |         20 | 4bcd64440b02b0890a343237d69b30d101d7e38a9d67162975af147e1a8e0ff1 |    17 |    18 | UPDATED 
2014-03-21 21:14:04 - INFO --> |         28 |         31 | 96adb2d750456cb0d2413fea8794f53cb5ba4bb966200305b8653e66b1f0208e |     6 |     7 | UPDATED 
2014-03-21 21:14:04 - INFO --> |         29 |         25 | f9ffa48e9d96b10a40a4b3cad4c83cff3b7d06edfbe97b6b3f74d579cf403cb4 |    12 |    13 | UPDATED 
2014-03-21 21:14:04 - INFO --> |         30 |          4 | 88c912ae63d19ae62b0e02943dcc55efb867085082022330cc31abafb5e5ce33 |    33 |    34 | UPDATED 
2014-03-21 21:14:04 - INFO --> |         31 |         33 | 551c2b3639dd1edd66aca59491374117565d8db4de8b07e16dd9b7d3c5c9f74f |     4 |     5 | UPDATED 
2014-03-21 21:14:04 - INFO --> |         32 |         32 | 599d719c135bffb709646f175f158427bb298e228e5a8010abf4566cd7296028 |     5 |     6 | UPDATED 
2014-03-21 21:14:04 - INFO --> |         33 |         36 | a64f49ded60410a2fb133b919f19a712f709c6359967552fd3ac61955e34b210 |     1 |     2 | UPDATED 
2014-03-21 21:14:04 - INFO --> |         34 |         35 | 0a1fd57ebbfb908e938817808f475cf383760122decb076c6dccda1625bad436 |     2 |     3 | UPDATED 
2014-03-21 21:14:04 - INFO --> |         35 |         34 | bce0f72fc0c7b23eef37d9e244c8ed5c144acb2fd625524d20fddf6eb1fb1c66 |     3 |     4 | UPDATED 
2014-03-21 21:16:06 - INFO --> |         ID |     Height | Blockhash                                                        |   Old |   New | Status  
2014-03-21 21:16:06 - INFO --> |          1 |          1 | 6a46fcfc7078cfa2e0d42edf9d96d5d66dd23ef04d67a2f958fd74b62b2f824b |    37 |    39 | UPDATED 
2014-03-21 21:16:06 - INFO --> |          2 |          3 | 8bca23f0047c8f90e705116c801deb281531e4e7d28b8fadd548489be5aee0ca |    35 |    37 | UPDATED 
2014-03-21 21:16:06 - INFO --> |          3 |         28 | bcb15121b7cdd1c1826bbe64d47d05fea9e9b5742a2b523b8ce109e7fef0b25e |    10 |    12 | UPDATED 
2014-03-21 21:16:06 - INFO --> |          4 |         27 | 6a4973f322aa0f9fa9f2f1905e299d82e8333b4b80e50cc9d412c765551a60a8 |    11 |    13 | UPDATED 
2014-03-21 21:16:06 - INFO --> |          5 |          5 | 62f8d1c1a176a5688a755330f75c47a261c3f94626e4433edd15eb55ee80ecbf |    33 |    35 | UPDATED 
2014-03-21 21:16:06 - INFO --> |          6 |          7 | fc451b43f5f459db62cfd32a1814376f46ee4d8348fc23de641a9954e20357c5 |    31 |    33 | UPDATED 
2014-03-21 21:16:06 - INFO --> |          7 |          6 | 00ebf40c1c7bf2364bc65aa99397a98b0328baf4191a656edf644b5e88c0665c |    32 |    34 | UPDATED 
2014-03-21 21:16:06 - INFO --> |          8 |         26 | 887e5d893f0c4aedf82b74345519921348df0084b789a248b77f7711655e6ce4 |    12 |    14 | UPDATED 
2014-03-21 21:16:06 - INFO --> |          9 |         29 | a325366e01b4c2535df2e0792ebd84ddcb1eb4c85a1f7d949ec4a752b112b3ef |     9 |    11 | UPDATED 
2014-03-21 21:16:06 - INFO --> |         10 |          8 | 7500fad8e423e4004b66ab18d60c386c28ae7c91ddde889636af18998f9e7886 |    30 |    32 | UPDATED 
2014-03-21 21:16:06 - INFO --> |         11 |         17 | f05b6a5ebad5c3579c7a9e1d9472a8d8a7bb11d46fc0cb5b8e0355f56762e725 |    21 |    23 | UPDATED 
2014-03-21 21:16:06 - INFO --> |         12 |         14 | 77307ef7875577a3ea33cf147ac6b17be66bf8bba7c127ab612cf7fa9ef34d1a |    24 |    26 | UPDATED 
2014-03-21 21:16:06 - INFO --> |         13 |         13 | 28f84a7744859cc96ad89e0d81d02d578cedd47c02b5c7bba6aba982245a7bad |    25 |    27 | UPDATED 
2014-03-21 21:16:06 - INFO --> |         14 |         19 | 21fbebb7691c42d3dc2d55240545b81be8e83a1f747429b8894d4dd4e74ba518 |    19 |    21 | UPDATED 
2014-03-21 21:16:06 - INFO --> |         15 |         16 | 67346f228995700d0090c84f4b7f86660c7e4009327463e14158ca48532e58ec |    22 |    24 | UPDATED 
2014-03-21 21:16:06 - INFO --> |         16 |         22 | 0d67f11cadc68eca98cd2b5ffaa93a382260f8f4b292afc8cfa809a1eea67d51 |    16 |    18 | UPDATED 
2014-03-21 21:16:06 - INFO --> |         17 |          9 | deb17aabc1e91f043d0b699255994ad5b24237ae41903b3f33531fbf9cf0994c |    29 |    31 | UPDATED 
2014-03-21 21:16:06 - INFO --> |         18 |         11 | 47006f6e140edaebeca3c414094df6af6205f41265fa0507024a5e6a9e6de8dc |    27 |    29 | UPDATED 
2014-03-21 21:16:06 - INFO --> |         19 |         12 | 8fb252d9ec822b4e9d7ea51ff83850b630c5795998b3d0bc2b1a8bd46cab4fb6 |    26 |    28 | UPDATED 
2014-03-21 21:16:06 - INFO --> |         20 |         24 | 9ae73708b08bf04317afc7ca3a7b60623a9c213a06ecdcbdfed1af43a2df8b22 |    14 |    16 | UPDATED 
2014-03-21 21:16:06 - INFO --> |         21 |         18 | 2d17c28f0b26437b65e1ddac983e78def428a0f18e6a72d629eb74483a0ce676 |    20 |    22 | UPDATED 
2014-03-21 21:16:06 - INFO --> |         22 |         30 | a964d2b84e8ad9b87a2ea71af695d29d960537ed6b83750823561d650f21748f |     8 |    10 | UPDATED 
2014-03-21 21:16:06 - INFO --> |         23 |         23 | af8a910b4ec6e2b1c54aed2a41d62e0ca9bfc13c5351345dfd23ddb86111ecb3 |    15 |    17 | UPDATED 
2014-03-21 21:16:06 - INFO --> |         24 |         10 | 0f2da02923cfa0ba7c11dc7904915bd891b9213fa8d6427c06317ace90323cae |    28 |    30 | UPDATED 
2014-03-21 21:16:06 - INFO --> |         25 |         15 | 384e51548400f6292c371df766addc9c7701239608c4ba6c5eaaad30174f6e29 |    23 |    25 | UPDATED 
2014-03-21 21:16:06 - INFO --> |         26 |         21 | 93212ad482b3c9865cc6f3eac3fe49a41e3c14c5e9d8f82a0ed5ecda2f9b660a |    17 |    19 | UPDATED 
2014-03-21 21:16:06 - INFO --> |         27 |         20 | 4bcd64440b02b0890a343237d69b30d101d7e38a9d67162975af147e1a8e0ff1 |    18 |    20 | UPDATED 
2014-03-21 21:16:06 - INFO --> |         28 |         31 | 96adb2d750456cb0d2413fea8794f53cb5ba4bb966200305b8653e66b1f0208e |     7 |     9 | UPDATED 
2014-03-21 21:16:06 - INFO --> |         29 |         25 | f9ffa48e9d96b10a40a4b3cad4c83cff3b7d06edfbe97b6b3f74d579cf403cb4 |    13 |    15 | UPDATED 
2014-03-21 21:16:06 - INFO --> |         30 |          4 | 88c912ae63d19ae62b0e02943dcc55efb867085082022330cc31abafb5e5ce33 |    34 |    36 | UPDATED 
2014-03-21 21:16:06 - INFO --> |         31 |         33 | 551c2b3639dd1edd66aca59491374117565d8db4de8b07e16dd9b7d3c5c9f74f |     5 |     7 | UPDATED 
2014-03-21 21:16:06 - INFO --> |         32 |         32 | 599d719c135bffb709646f175f158427bb298e228e5a8010abf4566cd7296028 |     6 |     8 | UPDATED 
2014-03-21 21:16:06 - INFO --> |         33 |         36 | a64f49ded60410a2fb133b919f19a712f709c6359967552fd3ac61955e34b210 |     2 |     4 | UPDATED 
2014-03-21 21:16:06 - INFO --> |         34 |         35 | 0a1fd57ebbfb908e938817808f475cf383760122decb076c6dccda1625bad436 |     3 |     5 | UPDATED 
2014-03-21 21:16:06 - INFO --> |         35 |         34 | bce0f72fc0c7b23eef37d9e244c8ed5c144acb2fd625524d20fddf6eb1fb1c66 |     4 |     6 | UPDATED 
2014-03-21 21:16:06 - INFO --> |         36 |         37 | 6eba6f24844581649386a3595ec2ef48e9aff81abb1610b2591abaa93349fe0c |     1 |     3 | UPDATED 
2014-03-21 21:17:04 - INFO --> |         ID |     Height | Blockhash                                                        |   Old |   New | Status  
2014-03-21 21:17:04 - INFO --> |          1 |          1 | 6a46fcfc7078cfa2e0d42edf9d96d5d66dd23ef04d67a2f958fd74b62b2f824b |    39 |    40 | UPDATED 
2014-03-21 21:17:04 - INFO --> |          2 |          3 | 8bca23f0047c8f90e705116c801deb281531e4e7d28b8fadd548489be5aee0ca |    37 |    38 | UPDATED 
2014-03-21 21:17:04 - INFO --> |          3 |         28 | bcb15121b7cdd1c1826bbe64d47d05fea9e9b5742a2b523b8ce109e7fef0b25e |    12 |    13 | UPDATED 
2014-03-21 21:17:04 - INFO --> |          4 |         27 | 6a4973f322aa0f9fa9f2f1905e299d82e8333b4b80e50cc9d412c765551a60a8 |    13 |    14 | UPDATED 
2014-03-21 21:17:04 - INFO --> |          5 |          5 | 62f8d1c1a176a5688a755330f75c47a261c3f94626e4433edd15eb55ee80ecbf |    35 |    36 | UPDATED 
2014-03-21 21:17:04 - INFO --> |          6 |          7 | fc451b43f5f459db62cfd32a1814376f46ee4d8348fc23de641a9954e20357c5 |    33 |    34 | UPDATED 
2014-03-21 21:17:04 - INFO --> |          7 |          6 | 00ebf40c1c7bf2364bc65aa99397a98b0328baf4191a656edf644b5e88c0665c |    34 |    35 | UPDATED 
2014-03-21 21:17:04 - INFO --> |          8 |         26 | 887e5d893f0c4aedf82b74345519921348df0084b789a248b77f7711655e6ce4 |    14 |    15 | UPDATED 
2014-03-21 21:17:04 - INFO --> |          9 |         29 | a325366e01b4c2535df2e0792ebd84ddcb1eb4c85a1f7d949ec4a752b112b3ef |    11 |    12 | UPDATED 
2014-03-21 21:17:04 - INFO --> |         10 |          8 | 7500fad8e423e4004b66ab18d60c386c28ae7c91ddde889636af18998f9e7886 |    32 |    33 | UPDATED 
2014-03-21 21:17:04 - INFO --> |         11 |         17 | f05b6a5ebad5c3579c7a9e1d9472a8d8a7bb11d46fc0cb5b8e0355f56762e725 |    23 |    24 | UPDATED 
2014-03-21 21:17:04 - INFO --> |         12 |         14 | 77307ef7875577a3ea33cf147ac6b17be66bf8bba7c127ab612cf7fa9ef34d1a |    26 |    27 | UPDATED 
2014-03-21 21:17:04 - INFO --> |         13 |         13 | 28f84a7744859cc96ad89e0d81d02d578cedd47c02b5c7bba6aba982245a7bad |    27 |    28 | UPDATED 
2014-03-21 21:17:04 - INFO --> |         14 |         19 | 21fbebb7691c42d3dc2d55240545b81be8e83a1f747429b8894d4dd4e74ba518 |    21 |    22 | UPDATED 
2014-03-21 21:17:04 - INFO --> |         15 |         16 | 67346f228995700d0090c84f4b7f86660c7e4009327463e14158ca48532e58ec |    24 |    25 | UPDATED 
2014-03-21 21:17:04 - INFO --> |         16 |         22 | 0d67f11cadc68eca98cd2b5ffaa93a382260f8f4b292afc8cfa809a1eea67d51 |    18 |    19 | UPDATED 
2014-03-21 21:17:04 - INFO --> |         17 |          9 | deb17aabc1e91f043d0b699255994ad5b24237ae41903b3f33531fbf9cf0994c |    31 |    32 | UPDATED 
2014-03-21 21:17:04 - INFO --> |         18 |         11 | 47006f6e140edaebeca3c414094df6af6205f41265fa0507024a5e6a9e6de8dc |    29 |    30 | UPDATED 
2014-03-21 21:17:04 - INFO --> |         19 |         12 | 8fb252d9ec822b4e9d7ea51ff83850b630c5795998b3d0bc2b1a8bd46cab4fb6 |    28 |    29 | UPDATED 
